,detected_regime
2015-02-02,Calm Bull
2015-02-03,Calm Bull
2015-02-04,Calm Bull
2015-02-05,Calm Bull
2015-02-06,Calm Bull
2015-02-09,Calm Bull
2015-02-10,Calm Bull
2015-02-11,Calm Bull
2015-02-12,Calm Bull
2015-02-13,Calm Bull
2015-02-16,Calm Bull
2015-02-17,Calm Bull
2015-02-18,Crisis/Bear
2015-02-19,Crisis/Bear
2015-02-20,Crisis/Bear
2015-02-23,Crisis/Bear
2015-02-24,Crisis/Bear
2015-02-25,Calm Bull
2015-02-26,Crisis/Bear
2015-02-27,Calm Bull
2015-03-02,Calm Bull
2015-03-03,Calm Bull
2015-03-04,Calm Bull
2015-03-05,Calm Bull
2015-03-06,Calm Bull
2015-03-09,Calm Bull
2015-03-10,Calm Bull
2015-03-11,Calm Bull
2015-03-12,Calm Bull
2015-03-13,Calm Bull
2015-03-16,Calm Bull
2015-03-17,Calm Bull
2015-03-18,Calm Bull
2015-03-19,Calm Bull
2015-03-20,Calm Bull
2015-03-23,Calm Bull
2015-03-24,Calm Bull
2015-03-25,Calm Bull
2015-03-26,Calm Bull
2015-03-27,Calm Bull
2015-03-30,Calm Bull
2015-03-31,Calm Bull
2015-04-01,Calm Bull
2015-04-02,Calm Bull
2015-04-03,Calm Bull
2015-04-06,Calm Bull
2015-04-07,Calm Bull
2015-04-08,Calm Bull
2015-04-09,Calm Bull
2015-04-10,Calm Bull
2015-04-13,Calm Bull
2015-04-14,Calm Bull
2015-04-15,Calm Bull
2015-04-16,Calm Bull
2015-04-17,Calm Bull
2015-04-20,Calm Bull
2015-04-21,Calm Bull
2015-04-22,Calm Bull
2015-04-23,Crisis/Bear
2015-04-24,Crisis/Bear
2015-04-27,Crisis/Bear
2015-04-28,Crisis/Bear
2015-04-29,Crisis/Bear
2015-04-30,Crisis/Bear
2015-05-01,Crisis/Bear
2015-05-04,Crisis/Bear
2015-05-05,Crisis/Bear
2015-05-06,Crisis/Bear
2015-05-07,Crisis/Bear
2015-05-08,Crisis/Bear
2015-05-11,Crisis/Bear
2015-05-12,Crisis/Bear
2015-05-13,Crisis/Bear
2015-05-14,Crisis/Bear
2015-05-15,Crisis/Bear
2015-05-18,Crisis/Bear
2015-05-19,Crisis/Bear
2015-05-20,Crisis/Bear
2015-05-21,Crisis/Bear
2015-05-22,Crisis/Bear
2015-05-25,Crisis/Bear
2015-05-26,Crisis/Bear
2015-05-27,Crisis/Bear
2015-05-28,Crisis/Bear
2015-05-29,Crisis/Bear
2015-06-01,Crisis/Bear
2015-06-02,Crisis/Bear
2015-06-03,Crisis/Bear
2015-06-04,Crisis/Bear
2015-06-05,Crisis/Bear
2015-06-08,Crisis/Bear
2015-06-09,Crisis/Bear
2015-06-10,Crisis/Bear
2015-06-11,Crisis/Bear
2015-06-12,Crisis/Bear
2015-06-15,Crisis/Bear
2015-06-16,Crisis/Bear
2015-06-17,Crisis/Bear
2015-06-18,Crisis/Bear
2015-06-19,Crisis/Bear
2015-06-22,Crisis/Bear
2015-06-23,Crisis/Bear
2015-06-24,Crisis/Bear
2015-06-25,Crisis/Bear
2015-06-26,Crisis/Bear
2015-06-29,Crisis/Bear
2015-06-30,Crisis/Bear
2015-07-01,Crisis/Bear
2015-07-02,Crisis/Bear
2015-07-03,Crisis/Bear
2015-07-06,Crisis/Bear
2015-07-07,Crisis/Bear
2015-07-08,Crisis/Bear
2015-07-09,Crisis/Bear
2015-07-10,Crisis/Bear
2015-07-13,Crisis/Bear
2015-07-14,Crisis/Bear
2015-07-15,Crisis/Bear
2015-07-16,Crisis/Bear
2015-07-17,Crisis/Bear
2015-07-20,Crisis/Bear
2015-07-21,Crisis/Bear
2015-07-22,Crisis/Bear
2015-07-23,Crisis/Bear
2015-07-24,Crisis/Bear
2015-07-27,Crisis/Bear
2015-07-28,Crisis/Bear
2015-07-29,Crisis/Bear
2015-07-30,Crisis/Bear
2015-07-31,Crisis/Bear
2015-08-03,Crisis/Bear
2015-08-04,Crisis/Bear
2015-08-05,Crisis/Bear
2015-08-06,Crisis/Bear
2015-08-07,Crisis/Bear
2015-08-10,Crisis/Bear
2015-08-11,Crisis/Bear
2015-08-12,Crisis/Bear
2015-08-13,Crisis/Bear
2015-08-14,Crisis/Bear
2015-08-17,Crisis/Bear
2015-08-18,Crisis/Bear
2015-08-19,Crisis/Bear
2015-08-20,Crisis/Bear
2015-08-21,Crisis/Bear
2015-08-24,Crisis/Bear
2015-08-25,Crisis/Bear
2015-08-26,Crisis/Bear
2015-08-27,Crisis/Bear
2015-08-28,Crisis/Bear
2015-08-31,Crisis/Bear
2015-09-01,Crisis/Bear
2015-09-02,Crisis/Bear
2015-09-03,Crisis/Bear
2015-09-04,Crisis/Bear
2015-09-07,Crisis/Bear
2015-09-08,Crisis/Bear
2015-09-09,Crisis/Bear
2015-09-10,Crisis/Bear
2015-09-11,Crisis/Bear
2015-09-14,Crisis/Bear
2015-09-15,Crisis/Bear
2015-09-16,Crisis/Bear
2015-09-17,Crisis/Bear
2015-09-18,Crisis/Bear
2015-09-21,Crisis/Bear
2015-09-22,Crisis/Bear
2015-09-23,Crisis/Bear
2015-09-24,Crisis/Bear
2015-09-25,Crisis/Bear
2015-09-28,Crisis/Bear
2015-09-29,Crisis/Bear
2015-09-30,Crisis/Bear
2015-10-01,Crisis/Bear
2015-10-02,Crisis/Bear
2015-10-05,Crisis/Bear
2015-10-06,Crisis/Bear
2015-10-07,Crisis/Bear
2015-10-08,Crisis/Bear
2015-10-09,Crisis/Bear
2015-10-12,Crisis/Bear
2015-10-13,Crisis/Bear
2015-10-14,Crisis/Bear
2015-10-15,Crisis/Bear
2015-10-16,Crisis/Bear
2015-10-19,Crisis/Bear
2015-10-20,Crisis/Bear
2015-10-21,Crisis/Bear
2015-10-22,Crisis/Bear
2015-10-23,Crisis/Bear
2015-10-26,Crisis/Bear
2015-10-27,Crisis/Bear
2015-10-28,Crisis/Bear
2015-10-29,Crisis/Bear
2015-10-30,Crisis/Bear
2015-11-02,Crisis/Bear
2015-11-03,Crisis/Bear
2015-11-04,Crisis/Bear
2015-11-05,Crisis/Bear
2015-11-06,Crisis/Bear
2015-11-09,Crisis/Bear
2015-11-10,Crisis/Bear
2015-11-11,Crisis/Bear
2015-11-12,Crisis/Bear
2015-11-13,Crisis/Bear
2015-11-16,Crisis/Bear
2015-11-17,Crisis/Bear
2015-11-18,Crisis/Bear
2015-11-19,Crisis/Bear
2015-11-20,Crisis/Bear
